"","term","pos.neg"
"1059","diametr","negative"
"1060","diappoint","negative"
"1061","diatrib","negative"
"1063","dick","negative"
"1065","dictatori","negative"
"1066","die","negative"
"1067","die-hard","negative"
"1070","difficult","negative"
"1071","difficulti","negative"
"1073","diffid","negative"
"1074","dilapid","negative"
"1075","dilemma","negative"
"1076","dilly-d","negative"
"1078","dimmer","negative"
"1079","din","negative"
"1082","dinki","negative"
"1083","dire","negative"
"1086","dirt","negative"
"1087","dirtbag","negative"
"1091","disabl","negative"
"1093","disaccord","negative"
"1094","disadvantag","negative"
"1098","disaffect","negative"
"1100","disaffirm","negative"
"1101","disagre","negative"
"1106","disagr","negative"
"1108","disallow","negative"
"1109","disapoint","negative"
"1112","disappoint","negative"
"1119","disapprob","negative"
"1120","disapprov","negative"
"1124","disarray","negative"
"1125","disast","negative"
"1126","disaster","negative"
"1127","disastr","negative"
"1131","disbelief","negative"
"1132","disbeliev","negative"
"1134","disclaim","negative"
"1135","discombobul","negative"
"1136","discomfit","negative"
"1137","discomfititur","negative"
"1138","discomfort","negative"
"1139","discompositive","negative"
"1140","disconcert","negative"
"1144","disconsol","negative"
"1147","discont","negative"
"1150","discontinu","negative"
"1153","discord","negative"
"1156","discounten","negative"
"1157","discourag","negative"
"1163","discoutin","negative"
"1165","discrep","negative"
"1168","discriminatori","negative"
"1169","disdain","negative"
"1173","disfavor","negative"
"1174","disgrac","negative"
"1180","disgust","negative"
"1187","dishearten","negative"
"1190","dishonest","negative"
"1192","dishonesti","negative"
"1193","dishonor","negative"
"1196","disillus","negative"
"1198","disillusion","negative"
"1200","disinclin","negative"
"1202","disingenu","negative"
"1204","disintegr","negative"
"1210","dislik","negative"
"1214","disloc","negative"
"1215","disloy","negative"
"1216","disloyalti","negative"
"1217","dismal","negative"
"1220","dismay","negative"
"1224","dismiss","negative"
"1226","disobedi","negative"
"1228","disobey","negative"
"1229","disoobedi","negative"
"1230","disord","negative"
"1233","disorgan","negative"
"1234","disori","negative"
"1236","disown","negative"
"1240","dispens","negative"
"1241","dispirit","negative"
"1245","displac","negative"
"1247","displeas","negative"
"1250","displeasur","negative"
"1251","disproportion","negative"
"1252","disprov","negative"
"1256","disquiet","negative"
"1259","disquietud","negative"
"1260","disregard","negative"
"1264","disrespect","negative"
"1266","disrespectabl","negative"
"1271","disrupt","negative"
"1274","diss","negative"
"1275","dissapoint","negative"
"1276","dissappoint","negative"
"1278","dissatisfact","negative"
"1279","dissatisfactori","negative"
"1280","dissatisfi","negative"
"1287","dissens","negative"
"1288","dissent","negative"
"1291","disservic","negative"
"1298","dissolut","negative"
"1300","disson","negative"
"1304","dissuas","negative"
"1305","distain","negative"
"1306","distast","negative"
"1313","distract","negative"
"1316","distraught","negative"
"1319","distress","negative"
"1323","distrust","negative"
"1326","disturb","negative"
"1331","disun","negative"
"1332","disvalu","negative"
"1333","diverg","negative"
"1337","dizz","negative"
"1339","dizzi","negative"
"1340","dodder","negative"
"1341","dodgey","negative"
"1345","doldrum","negative"
"1348","donsid","negative"
"1349","doom","negative"
"1351","doomsday","negative"
"1352","dope","negative"
"1357","douchbag","negative"
"1358","douchebag","negative"
"1360","downbeat","negative"
"1361","downcast","negative"
"1362","downer","negative"
"1363","downfal","negative"
"1364","downfallen","negative"
"1365","downgrad","negative"
"1366","downheart","negative"
"1368","downhil","negative"
"1369","downsid","negative"
"1371","downturn","negative"
"1373","drab","negative"
"1374","draconian","negative"
"1375","dracon","negative"
"1376","drag","negative"
"1379","dragoon","negative"
"1381","drain","negative"
"1385","drastic","negative"
"1387","drawback","negative"
"1389","dread","negative"
"1394","drip","negative"
"1396","drippi","negative"
"1398","drone","negative"
"1399","droop","negative"
"1401","drop-out","negative"
"1403","dropout","negative"
"1405","drought","negative"
"1406","drown","negative"
"1407","drunk","negative"
"1408","drunkard","negative"
"1409","drunken","negative"
"1412","dubit","negative"
"1413","dud","negative"
"1414","dull","negative"
"1415","dullard","negative"
"1416","dumb","negative"
"1418","dump","negative"
"1422","dunc","negative"
"1423","dungeon","negative"
"1425","dupe","negative"
"1426","dust","negative"
"1427","dusti","negative"
"1428","dwindl","negative"
"1430","earsplit","negative"
"1433","effigi","negative"
"1434","effronteri","negative"
"1435","egocentr","negative"
"1436","egomania","negative"
"1437","egot","negative"
"1438","egotist","negative"
"1440","egregi","negative"
"1442","election-rigg","negative"
"1444","emaci","negative"
"1445","emascul","negative"
"1446","embarrass","negative"
"1454","emerg","negative"
"1455","emphat","negative"
"1457","empti","negative"
"1458","encroach","negative"
"1460","endang","negative"
"1461","enemi","negative"
"1465","enflam","negative"
"1467","enjoin","negative"
"1468","enmiti","negative"
"1469","enrag","negative"
"1472","enslav","negative"
"1473","entangl","negative"
"1475","entrap","negative"
"1480","epidem","negative"
"1481","equivoc","negative"
"1483","erod","negative"
"1485","eros","negative"
"1486","err","negative"
"1487","errant","negative"
"1488","errat","negative"
"1490","erron","negative"
"1492","error","negative"
"1494","erupt","negative"
"1495","escapad","negative"
"1496","eschew","negative"
"1497","estrang","negative"
"1498","evad","negative"
"1499","evas","negative"
"1501","evil","negative"
"1502","evildo","negative"
"1504","eviscer","negative"
"1506","exager","negative"
"1509","exagger","negative"
"1511","exasper","negative"
"1516","excess","negative"
"1518","exclus","negative"
"1519","excori","negative"
"1520","excruci","negative"
"1524","execr","negative"
"1529","exhorbit","negative"
"1531","exil","negative"
"1532","exorbit","negative"
"1533","exorbitant","negative"
"1535","expel","negative"
"1537","expir","negative"
"1539","explod","negative"
"1540","exploit","negative"
"1542","explos","negative"
"1543","expropri","negative"
"1545","expuls","negative"
"1546","expung","negative"
"1547","extermin","negative"
"1550","extort","negative"
"1552","extran","negative"
"1553","extravag","negative"
"1557","extremist","negative"
"1559","eyesor","negative"
"1560","f**k","negative"
"1563","faceti","negative"
"1565","fail","negative"
"1569","failur","negative"
"1572","faintheart","negative"
"1574","fake","negative"
"1575","fall","negative"
"1581","fallen","negative"
"1583","fallout","negative"
"1585","fals","negative"
"1586","falsehood","negative"
"1588","falsifi","negative"
"1589","falter","negative"
"1591","famin","negative"
"1592","famish","negative"
"1593","fanat","negative"
"1596","fanatic","negative"
"1599","far-fetch","negative"
"1600","farc","negative"
"1601","farcic","negative"
"1602","farcical-yet-provoc","negative"
"1604","farfetch","negative"
"1605","fascism","negative"
"1606","fascist","negative"
"1609","fastuous","negative"
"1611","fat-cat","negative"
"1613","fatal","negative"
"1614","fatalist","negative"
"1617","fatcat","negative"
"1621","fathomless","negative"
"1622","fatigu","negative"
"1624","fatiqu","negative"
"1625","fatti","negative"
"1629","fault","negative"
"1632","fawn","negative"
"1633","faze","negative"
"1634","fear","negative"
"1639","feckless","negative"
"1640","feebl","negative"
"1642","feeblemind","negative"
"1643","feign","negative"
"1644","feint","negative"
"1645","fell","negative"
"1646","felon","negative"
"1647","feloni","negative"
"1649","feroc","negative"
"1650","fetid","negative"
"1651","fever","negative"
"1652","feverish","negative"
"1654","fiasco","negative"
"1656","fibber","negative"
"1657","fickl","negative"
"1660","fictiti","negative"
"1661","fidget","negative"
"1662","fidgeti","negative"
"1663","fiend","negative"
"1664","fiendish","negative"
"1666","figurehead","negative"
"1667","filth","negative"
"1668","filthi","negative"
"1669","finagl","negative"
"1670","finicki","negative"
"1671","fissur","negative"
"1672","fist","negative"
"1676","flagrant","negative"
"1680","flak","negative"
"1681","flake","negative"
"1682","flakey","negative"
"1686","flare","negative"
"1688","flareup","negative"
"1690","flat-out","negative"
"1691","flaunt","negative"
"1692","flaw","negative"
"1696","fleed","negative"
"1698","fleer","negative"
"1701","flicer","negative"
"1706","flimflam","negative"
"1707","flimsi","negative"
"1709","flirti","negative"
"1711","flounder","negative"
"1713","flout","negative"
"1714","fluster","negative"
"1715","foe","negative"
"1716","fool","negative"
"1722","forbid","negative"
"1723","forbidden","negative"
"1726","forebod","negative"
"1728","forfeit","negative"
"1730","forget","negative"
"1733","forlorn","negative"
"1735","forsak","negative"
"1736","forsaken","negative"
"1737","forswear","negative"
"1738","foul","negative"
"1739","foulli","negative"
"1741","fractious","negative"
"1743","fractur","negative"
"1744","fragil","negative"
"1747","frantic","negative"
"1750","fraud","negative"
"1751","fraudul","negative"
"1752","fraught","negative"
"1753","frazzl","negative"
"1755","freak","negative"
"1757","freakish","negative"
"1760","freez","negative"
"1763","frenet","negative"
"1765","frenzi","negative"
"1767","fret","negative"
"1770","friction","negative"
"1773","friggin","negative"
"1774","frig","negative"
"1775","fright","negative"
"1776","frighten","negative"
"1781","frigid","negative"
"1783","frown","negative"
"1784","froze","negative"
"1785","frozen","negative"
"1786","fruitless","negative"
"1788","frustrat","negative"
"1795","fuck","negative"
"1797","fudg","negative"
"1798","fugit","negative"
"1799","full-blown","negative"
"1800","fulmin","negative"
"1801","fumbl","negative"
"1802","fume","negative"
"1806","funnili","negative"
"1808","furious","negative"
"1810","furor","negative"
"1811","furi","negative"
"1812","fuss","negative"
"1813","fussi","negative"
"1814","fustig","negative"
"1815","fusti","negative"
"1816","futil","negative"
"1820","gabbl","negative"
"1821","gaff","negative"
"1825","gall","negative"
"1829","gangster","negative"
"1830","gape","negative"
"1831","garbag","negative"
"1836","gawk","negative"
"1837","gawki","negative"
"1838","geezer","negative"
"1839","genocid","negative"
"1840","get-rich","negative"
